종목코드,종목명,대테마
054620,APS,IT·반도체
265520,AP시스템,IT·반도체
000990,DB하이텍,IT·반도체
068790,DMS,IT·반도체
083450,GST,IT·반도체
297890,HB솔루션,IT·반도체
078150,HB테크놀러지,IT·반도체
024850,HLB이노베이션,IT·반도체
403870,HPSP,IT·반도체
095340,ISC,IT·반도체
092220,KEC,IT·반도체
052900,KX하이텍,IT·반도체
061970,LB세미콘,IT·반도체
034220,LG디스플레이,IT·반도체
011070,LG이노텍,IT·반도체
066570,LG전자,IT·반도체
066575,LG전자우,IT·반도체
225190,LK삼양,IT·반도체
108320,LX세미콘,IT·반도체
222160,NPX,IT·반도체
091340,S&K폴리텍,IT·반도체
036540,SFA반도체,IT·반도체
000660,SK하이닉스,IT·반도체
032540,TJ미디어,IT·반도체
078890,가온그룹,IT·반도체
399720,가온칩스,IT·반도체
114190,강원에너지,IT·반도체
009140,경인전자,IT·반도체
098460,고영,IT·반도체
017900,광전자,IT·반도체
0015G0,그린광학,IT·반도체
402490,그린리소스,IT·반도체
001210,금호전기,IT·반도체
420770,기가비스,IT·반도체
417010,나노팀,IT·반도체
137080,나래나노텍,IT·반도체
004270,남성,IT·반도체
253590,네오셈,IT·반도체
033640,네패스,IT·반도체
330860,네패스아크,IT·반도체
351320,넥사다이내믹스,IT·반도체
396270,넥스트칩,IT·반도체
348210,넥스틴,IT·반도체
106520,노블엠앤비,IT·반도체
144960,뉴파워프라즈마,IT·반도체
085670,뉴프렉스,IT·반도체
154040,다산솔루에타,IT·반도체
323350,다원넥스뷰,IT·반도체
008060,대덕,IT·반도체
353200,대덕전자,IT·반도체
290670,대보마그네틱,IT·반도체
078600,대주전자재료,IT·반도체
213420,덕산네오룩스,IT·반도체
317330,덕산테코피아,IT·반도체
077360,덕산하이메탈,IT·반도체
484120,도우인시스,IT·반도체
088130,동아엘텍,IT·반도체
094170,동운아나텍,IT·반도체
032960,동일기연,IT·반도체
005290,동진쎄미켐,IT·반도체
131970,두산테스나,IT·반도체
187870,디바이스,IT·반도체
003160,디아이,IT·반도체
110990,디아이티,IT·반도체
109740,디에스케이,IT·반도체
031860,디에이치엑스컴퍼니,IT·반도체
066900,디에이피,IT·반도체
092070,디엔에프,IT·반도체
043360,디지아이,IT·반도체
187220,디티앤씨,IT·반도체
131180,딜리,IT·반도체
232680,라온로보틱스,IT·반도체
418420,라온텍,IT·반도체
171010,램테크놀러지,IT·반도체
217500,러셀,IT·반도체
092590,럭스피아,IT·반도체
412350,레이저쎌,IT·반도체
071280,로체시스템즈,IT·반도체
020150,롯데에너지머티리얼즈,IT·반도체
038060,루멘스,IT·반도체
162120,루켄테크놀러지스,IT·반도체
058470,리노공업,IT·반도체
098120,마이크로컨텍솔,IT·반도체
424980,마이크로투나노,IT·반도체
093520,매커스,IT·반도체
446540,메가터치,IT·반도체
241770,메카로,IT·반도체
033200,모아텍,IT·반도체
095500,미래나노텍,IT·반도체
254490,미래반도체,IT·반도체
025560,미래산업,IT·반도체
049950,미래컴퍼니,IT·반도체
059090,미코,IT·반도체
038460,바이오스마트,IT·반도체
046310,백금T&A,IT·반도체
177350,베셀,IT·반도체
089970,브이엠,IT·반도체
191600,블루탑,IT·반도체
121800,비덴트,IT·반도체
