종목코드,종목명,테마
005930,삼성전자,반도체
000660,SK하이닉스,반도체
042700,한미반도체,반도체
240810,원익IPS,반도체
403870,HPSP,반도체
373220,LG에너지솔루션,2차전지
006400,삼성SDI,2차전지
247540,에코프로비엠,2차전지
086520,에코프로,2차전지
066970,엘앤에프,2차전지
034020,두산에너빌리티,원전
052690,한전기술,원전
051600,한전KPS,원전
100090,SGC에너지,원전
012450,한화에어로스페이스,방산
047810,한국항공우주,방산
064350,현대로템,방산
079550,LIG넥스원,방산
207940,삼성바이오로직스,바이오
068270,셀트리온,바이오
196170,알테오젠,바이오
328130,루닛,바이오
005380,현대차,자동차
000270,기아,자동차
012330,현대모비스,자동차
035420,NAVER,인터넷플랫폼
035720,카카오,인터넷플랫폼
036570,엔씨소프트,게임
251270,넷마블,게임
259960,크래프톤,게임
112040,위메이드,게임
009540,HD한국조선해양,조선
010140,삼성중공업,조선
042660,한화오션,조선
090430,아모레퍼시픽,화장품
051900,LG생활건강,화장품
192820,코스맥스,화장품
277810,레인보우로보틱스,로봇
108490,로보티즈,로봇
056080,유진로봇,로봇
