종목코드,종목명,시장,현재가,등락률,거래량,거래대금,시가총액,상장주식수
005930,삼성전자,KOSPI,299000,-7.14,16248179,4858205521000,1748037300000000,5846279000
000660,SK하이닉스,KOSPI,2029000,-8.4,2952021,5989650609000,1446073100000000,712702000
402340,SK스퀘어,KOSPI,1173000,-7.57,481953,565330869000,154787200000000,131958000
005935,삼성전자우,KOSPI,188800,-7.22,3305329,624046115200,151487700000000,802371000
009150,삼성전기,KOSPI,1834000,-6.9,759699,1393287966000,136988200000000,74694000
005380,현대차,KOSPI,590000,-7.67,1099165,648507350000,120807100000000,204758000
373220,LG에너지솔루션,KOSPI,376500,-5.04,224500,84524250000,88101000000000,234000000
032830,삼성생명,KOSPI,362500,-7.76,433664,157203200000,72500000000000,200000000
329180,HD현대중공업,KOSPI,628000,2.61,307459,193084252000,65915600000000,104961000
028260,삼성물산,KOSPI,396000,-7.69,406441,160950636000,64218400000000,162168000
000270,기아,KOSPI,156600,-4.69,1211380,189702108000,61138700000000,390413000
207940,삼성바이오로직스,KOSPI,1266000,-2.31,25638,32457708000,58604300000000,46291000
034020,두산에너빌리티,KOSPI,88200,-4.44,1757646,155024377200,56497500000000,640561000
105560,KB금융,KOSPI,150900,-2.52,912696,137725826400,53522400000000,354688000
012450,한화에어로스페이스,KOSPI,1009000,-0.69,136798,138029182000,52027500000000,51563000
012330,현대모비스,KOSPI,557000,-6.39,488076,271858332000,50538000000000,90733000
055550,신한지주,KOSPI,96300,-4.84,1089260,104895738000,45709200000000,474654000
034730,SK,KOSPI,564000,-5.05,133824,75476736000,40891500000000,72503000
006400,삼성SDI,KOSPI,488000,-5.24,287394,140248272000,39325700000000,80586000
068270,셀트리온,KOSPI,164100,-3.47,305809,50183256900,36370000000000,221633000
066570,LG전자,KOSPI,222500,-10.28,2552850,568009125000,36241800000000,162885000
035420,NAVER,KOSPI,226500,-11.87,2582586,584955729000,35531900000000,156874000
267260,HD현대일렉트릭,KOSPI,966000,2.33,185598,179287668000,34821500000000,36047000
010120,LS ELECTRIC,KOSPI,230500,5.01,1005926,231865943000,34575000000000,150000000
042660,한화오션,KOSPI,106800,4.5,1146418,122437442400,32725000000000,306413000
086790,하나금융지주,KOSPI,115800,-2.69,549680,63652944000,31771800000000,274368000
298040,효성중공업,KOSPI,3371000,-2.77,43037,145077727000,31433100000000,9325000
005490,POSCO홀딩스,KOSPI,355500,-2.47,232100,82511550000,28170400000000,79242000
006800,미래에셋증권,KOSPI,50000,-2.91,1981874,99093700000,27978300000000,559567000
000810,삼성화재,KOSPI,620000,-5.34,145145,89989900000,27681400000000,44647000
069500,KODEX 200,KOSPI,121855,-6.36,8371118,1020062583890,26844700000000,220300000
009540,HD한국조선해양,KOSPI,372000,2.62,170428,63399216000,26327600000000,70773000
042700,한미반도체,KOSPI,269000,-2.71,697393,187598717000,25639000000000,95312000
011070,LG이노텍,KOSPI,1078000,-5.19,344040,370875120000,25513100000000,23667000
000150,두산,KOSPI,1556000,-0.64,51213,79687428000,25197600000000,16194000
